gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
-2.497579759886073e-09,-4.360853549007429e-09,0.0,0.0,0.0,0.0,-5.0348036429449405e-09,-7.413451033312629e-09,0.0,0.0,0.0,0.0,2.0
4.384722559243273e-07,2.1602809658157425e-06,1.2298627937666655e-06,0.0,0.0,0.0,1.192430642967557e-06,8.609026482215781e-07,1.149653185810205e-06,0.0,0.0,0.0,3.0
9.847498830398134e-07,7.02015417114028e-07,1.2910253739644694e-06,1.4291194397155545e-06,0.0,0.0,7.246988454223164e-07,1.575094112743096e-06,1.8365054021429826e-07,1.5168186719219113e-07,0.0,0.0,4.0
9.2977750083598e-08,1.3319136060428725e-07,-7.862350260208364e-08,-4.396133813327504e-07,-2.804638467213324e-07,0.0,-4.729658548051293e-08,3.318810251885476e-07,-1.189783362941733e-07,5.756538738608913e-07,-2.238238104980996e-07,0.0,5.0
9.45797036078546e-10,-1.301641465494237e-09,-3.745730835954639e-11,-2.902941397864845e-10,-8.61518092269567e-10,-2.8092981269659795e-10,-5.805882795729691e-10,1.6949432032694743e-09,-1.0300759798875258e-10,-1.207998194595371e-09,1.367191755123443e-09,-1.5451139698312884e-09,6.0
3.334410179921239e-11,0.0,0.0,0.0,0.0,0.0,-1.709953938421148e-12,0.0,0.0,0.0,0.0,0.0,1.0
1.379942156578405e-07,8.090698401004702e-08,0.0,0.0,0.0,0.0,-9.161315688132953e-08,1.1945347453124391e-08,0.0,0.0,0.0,0.0,2.0
7.713036453378517e-07,2.6709741893349337e-08,8.258355926053095e-07,0.0,0.0,0.0,-5.895261488624729e-07,-4.305214265331322e-07,7.701320722867826e-07,0.0,0.0,0.0,3.0
-1.569803047447396e-09,-1.0012129672695991e-09,-6.67475311513066e-10,-1.0135736211865075e-09,0.0,0.0,-1.223704737773954e-09,1.915901357120837e-09,4.079015792579848e-10,-6.056720419285226e-10,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
-2.872628585417359e-07,-6.654316849764262e-07,-2.2181056165880883e-07,1.818119357859088e-07,-2.872628585417359e-07,2.618091875317087e-07,-3.2726148441463585e-08,-1.818119357859088e-07,-3.054440521203268e-07,-6.61795446260708e-07,-3.454426779932268e-07,2.545367101002723e-08,6.0
1.7915107890730769e-07,0.0,0.0,0.0,0.0,0.0,-7.171339264528983e-07,0.0,0.0,0.0,0.0,0.0,1.0
-7.779258790952489e-11,-6.322716719455002e-11,0.0,0.0,0.0,0.0,-6.355819948352672e-11,-8.739252428984925e-11,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.52752259625446e-11,-4.69343659925553e-10,-1.4716161600632082e-09,9.199528177975375e-10,0.0,0.0,-8.161655451990293e-10,-2.3974089099223326e-10,-8.191088709580685e-10,-1.3266223268381484e-09,0.0,0.0,4.0
-1.675867005260241e-07,-1.109376749961005e-07,8.969429042237912e-08,3.91822426581972e-07,4.107054350919465e-07,0.0,3.328130249883014e-07,-4.956789733868319e-07,7.104731951877924e-07,6.609052978491092e-08,4.343091957294146e-07,0.0,5.0
2.123309709571698e-07,1.7251891390270048e-06,-7.962411410893868e-08,-3.361907040155189e-07,-7.608526459298585e-07,-7.608526459298585e-07,-3.273435802256368e-07,1.0439606072060848e-06,2.919550850661085e-07,-2.831079612762264e-07,1.8490488720853536e-06,7.431583983500944e-07,6.0
8.00778207643883e-07,0.0,0.0,0.0,0.0,0.0,1.4033823731064553e-07,0.0,0.0,0.0,0.0,0.0,1.0
3.288019289614018e-09,4.274425076498224e-09,0.0,0.0,0.0,0.0,-6.017075299993653e-08,-5.3265912491747095e-08,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-2.820331670357701e-07,-1.7127662240557304e-07,5.3447539139566544e-08,-6.230651871824643e-07,0.0,0.0,1.5578256129107497e-07,-1.5535015050301198e-07,-2.768660681535975e-07,4.592898964056505e-07,0.0,0.0,4.0
-1.0217836041772868e-07,1.189811282955967e-07,1.342624329523118e-07,8.79235495214388e-08,-8.239148719714364e-08,0.0,-9.651301743474902e-08,1.27178763486128e-07,5.484573203390672e-08,6.200904778742461e-08,1.245175965737783e-07,0.0,5.0
