gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
2.639868425904638e-07,0.0,0.0,0.0,0.0,0.0,2.2363576252770054e-06,0.0,0.0,0.0,0.0,0.0,1.0
-2.7558050048362394e-07,-7.814207673030587e-08,0.0,0.0,0.0,0.0,-2.060677045861391e-07,-9.90299782453557e-08,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-1.753022037167899e-07,1.2164648849689864e-07,-3.6788630919215024e-08,-3.1018687530754336e-08,0.0,0.0,-1.4899520326980184e-07,3.353710449905612e-07,-5.846321165691313e-08,2.003181005745577e-07,0.0,0.0,4.0
-6.663543008299317e-07,-3.058372963612602e-07,-2.726339485817565e-07,-2.5499194529339326e-07,-6.540047697922492e-07,0.0,-4.5645008362925646e-07,-2.3274910824484706e-07,2.9465861244831856e-07,-2.4116766853569603e-07,-1.2984559657806586e-06,0.0,5.0
6.970594743685352e-07,3.682962620418593e-07,2.640348058945345e-07,2.977812024619752e-07,4.951891101920512e-07,-4.91112665014405e-07,1.1854115249551512e-07,4.0323818488771417e-07,1.9958693896824832e-07,5.829840116979576e-08,1.1530324890305409e-06,5.467168143579246e-07,6.0
